freq,psd_x,psd_y,psd_z,psd_xyz,zv(57.2),mzv(56.2),ei(49.8),2hump_ei(81.8),3hump_ei(100.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.993,0.988,0.990,0.989
3.3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.983,0.971,0.977,0.975
4.9,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.980,0.971,0.949,0.960,0.957
6.6,3.741e+00,2.191e+02,1.201e+01,2.349e+02,0.969,0.956,0.923,0.941,0.937
8.2,2.917e+00,2.856e+02,1.013e+01,2.987e+02,0.956,0.938,0.892,0.919,0.914
9.8,2.670e+00,3.510e+02,8.573e+00,3.623e+02,0.942,0.919,0.857,0.894,0.888
11.5,3.157e+00,4.137e+02,7.781e+00,4.247e+02,0.926,0.897,0.818,0.866,0.859
13.1,3.760e+00,4.601e+02,7.801e+00,4.717e+02,0.908,0.873,0.776,0.837,0.829
14.7,4.056e+00,5.429e+02,7.661e+00,5.546e+02,0.889,0.847,0.731,0.805,0.796
16.4,6.311e+00,6.344e+02,9.055e+00,6.497e+02,0.868,0.819,0.683,0.772,0.762
18.0,7.316e+00,6.618e+02,1.091e+01,6.801e+02,0.845,0.790,0.634,0.737,0.726
19.7,4.938e+00,6.931e+02,8.852e+00,7.069e+02,0.821,0.759,0.584,0.700,0.689
21.3,4.002e+00,7.577e+02,5.409e+00,7.671e+02,0.795,0.727,0.533,0.663,0.651
22.9,2.873e+00,8.363e+02,4.055e+00,8.432e+02,0.768,0.693,0.481,0.624,0.613
24.6,1.728e+00,9.413e+02,4.133e+00,9.471e+02,0.739,0.658,0.430,0.585,0.574
26.2,1.300e+00,1.090e+03,4.593e+00,1.096e+03,0.709,0.622,0.379,0.546,0.534
27.8,1.074e+00,1.266e+03,5.871e+00,1.273e+03,0.678,0.586,0.330,0.507,0.495
29.5,9.612e-01,1.308e+03,6.038e+00,1.315e+03,0.646,0.549,0.282,0.467,0.456
31.1,9.711e-01,1.381e+03,4.005e+00,1.386e+03,0.613,0.511,0.237,0.429,0.418
32.8,1.533e+00,1.558e+03,3.135e+00,1.563e+03,0.579,0.474,0.194,0.390,0.380
34.4,3.516e+00,1.730e+03,3.273e+00,1.736e+03,0.544,0.436,0.154,0.353,0.344
36.0,7.080e+00,1.887e+03,3.323e+00,1.898e+03,0.508,0.398,0.117,0.317,0.308
37.7,1.043e+01,2.138e+03,2.801e+00,2.151e+03,0.471,0.361,0.084,0.282,0.274
39.3,1.484e+01,2.347e+03,2.521e+00,2.364e+03,0.433,0.324,0.056,0.248,0.242
40.9,2.249e+01,2.700e+03,2.970e+00,2.725e+03,0.395,0.287,0.034,0.216,0.212
42.6,3.617e+01,3.287e+03,3.228e+00,3.326e+03,0.357,0.252,0.021,0.186,0.183
44.2,6.610e+01,3.934e+03,3.333e+00,4.004e+03,0.318,0.217,0.023,0.158,0.156
45.9,1.536e+02,5.030e+03,4.433e+00,5.188e+03,0.279,0.183,0.031,0.132,0.132
47.5,2.800e+02,5.783e+03,5.123e+00,6.068e+03,0.239,0.151,0.037,0.108,0.110
49.1,2.627e+02,6.053e+03,4.261e+00,6.320e+03,0.200,0.120,0.040,0.086,0.090
50.8,1.627e+02,7.793e+03,4.817e+00,7.961e+03,0.161,0.090,0.039,0.067,0.073
52.4,2.265e+02,1.015e+04,6.457e+00,1.038e+04,0.122,0.063,0.033,0.051,0.059
54.0,7.438e+02,1.116e+04,5.424e+00,1.191e+04,0.092,0.045,0.030,0.039,0.048
55.7,1.097e+03,1.209e+04,4.415e+00,1.319e+04,0.070,0.035,0.028,0.031,0.041
57.3,8.423e+02,1.293e+04,7.264e+00,1.378e+04,0.062,0.036,0.030,0.028,0.038
59.0,5.546e+02,1.247e+04,1.031e+01,1.303e+04,0.073,0.045,0.039,0.028,0.037
60.6,4.916e+02,1.125e+04,8.687e+00,1.175e+04,0.096,0.059,0.052,0.031,0.037
62.2,5.041e+02,8.624e+03,9.277e+00,9.137e+03,0.125,0.075,0.077,0.034,0.039
63.9,4.269e+02,6.029e+03,8.215e+00,6.464e+03,0.162,0.090,0.106,0.037,0.040
65.5,3.550e+02,4.036e+03,6.181e+00,4.397e+03,0.199,0.102,0.136,0.038,0.040
67.1,2.894e+02,2.611e+03,4.904e+00,2.906e+03,0.236,0.113,0.169,0.038,0.040
68.8,2.204e+02,1.610e+03,4.463e+00,1.835e+03,0.271,0.121,0.202,0.037,0.038
70.4,1.351e+02,1.074e+03,5.323e+00,1.215e+03,0.307,0.127,0.237,0.035,0.036
72.1,6.873e+01,7.077e+02,6.546e+00,7.829e+02,0.341,0.131,0.272,0.032,0.034
73.7,3.870e+01,4.681e+02,9.633e+00,5.164e+02,0.374,0.133,0.307,0.028,0.030
75.3,2.619e+01,3.547e+02,1.521e+01,3.961e+02,0.407,0.133,0.342,0.024,0.026
77.0,1.960e+01,3.832e+02,2.254e+01,4.253e+02,0.438,0.130,0.376,0.019,0.023
78.6,1.713e+01,5.745e+02,3.381e+01,6.254e+02,0.469,0.126,0.409,0.014,0.019
80.2,1.384e+01,8.351e+02,4.148e+01,8.904e+02,0.498,0.119,0.440,0.011,0.015
81.9,9.939e+00,9.930e+02,4.282e+01,1.046e+03,0.526,0.111,0.470,0.011,0.012
83.5,1.039e+01,1.067e+03,4.584e+01,1.123e+03,0.553,0.100,0.497,0.012,0.012
85.2,1.288e+01,1.151e+03,5.082e+01,1.215e+03,0.578,0.095,0.522,0.014,0.013
86.8,1.167e+01,1.208e+03,4.662e+01,1.266e+03,0.602,0.089,0.545,0.018,0.015
88.4,1.376e+01,1.128e+03,4.906e+01,1.191e+03,0.625,0.085,0.564,0.023,0.018
90.1,1.717e+01,1.184e+03,5.774e+01,1.259e+03,0.647,0.082,0.581,0.026,0.021
91.7,2.247e+01,1.317e+03,6.726e+01,1.406e+03,0.666,0.080,0.594,0.029,0.024
93.3,2.541e+01,1.326e+03,7.111e+01,1.423e+03,0.685,0.082,0.604,0.031,0.026
95.0,1.878e+01,1.212e+03,5.359e+01,1.284e+03,0.702,0.086,0.611,0.032,0.028
96.6,1.126e+01,1.025e+03,3.285e+01,1.069e+03,0.717,0.093,0.614,0.032,0.029
98.3,7.673e+00,7.770e+02,2.480e+01,8.095e+02,0.731,0.103,0.614,0.030,0.030
99.9,5.763e+00,5.269e+02,2.330e+01,5.560e+02,0.743,0.114,0.610,0.027,0.030
101.5,6.449e+00,3.608e+02,2.414e+01,3.914e+02,0.754,0.128,0.603,0.027,0.029
103.2,9.694e+00,2.715e+02,3.150e+01,3.127e+02,0.763,0.144,0.592,0.027,0.028
104.8,1.033e+01,1.944e+02,3.978e+01,2.445e+02,0.770,0.170,0.579,0.027,0.026
106.4,9.285e+00,1.984e+02,5.320e+01,2.609e+02,0.776,0.197,0.563,0.029,0.024
108.1,1.000e+01,3.261e+02,7.613e+01,4.123e+02,0.780,0.223,0.544,0.031,0.021
109.7,1.365e+01,6.030e+02,1.150e+02,7.316e+02,0.783,0.250,0.522,0.035,0.018
111.4,2.294e+01,9.786e+02,1.700e+02,1.172e+03,0.784,0.277,0.499,0.040,0.014
113.0,2.422e+01,1.397e+03,1.848e+02,1.606e+03,0.784,0.303,0.473,0.047,0.013
114.6,2.474e+01,1.703e+03,2.008e+02,1.928e+03,0.781,0.329,0.445,0.059,0.012
116.3,3.051e+01,1.758e+03,2.290e+02,2.018e+03,0.778,0.355,0.417,0.075,0.012
117.9,3.948e+01,1.894e+03,2.747e+02,2.208e+03,0.773,0.380,0.387,0.092,0.012
119.5,4.808e+01,1.954e+03,3.032e+02,2.305e+03,0.766,0.405,0.356,0.110,0.013
121.2,5.220e+01,1.838e+03,3.065e+02,2.197e+03,0.758,0.428,0.326,0.129,0.014
122.8,5.332e+01,1.644e+03,2.886e+02,1.986e+03,0.748,0.451,0.295,0.149,0.015
124.5,4.872e+01,1.451e+03,2.533e+02,1.753e+03,0.737,0.473,0.264,0.169,0.018
126.1,4.096e+01,1.237e+03,2.199e+02,1.498e+03,0.724,0.493,0.234,0.189,0.021
127.7,4.279e+01,1.106e+03,2.055e+02,1.355e+03,0.710,0.512,0.205,0.210,0.023
129.4,5.465e+01,1.040e+03,1.935e+02,1.288e+03,0.695,0.530,0.177,0.230,0.024
131.0,5.623e+01,9.550e+02,1.622e+02,1.174e+03,0.679,0.547,0.158,0.251,0.025
132.6,3.314e+01,6.476e+02,9.365e+01,7.744e+02,0.661,0.562,0.146,0.272,0.025
134.3,1.031e+01,1.253e+02,2.468e+01,1.603e+02,0.642,0.576,0.135,0.292,0.024
135.9,5.748e+00,3.310e+01,1.050e+01,4.935e+01,0.622,0.588,0.126,0.312,0.023
137.6,4.932e+00,2.833e+01,6.955e+00,4.021e+01,0.602,0.598,0.118,0.332,0.024
139.2,4.573e+00,2.501e+01,5.233e+00,3.481e+01,0.580,0.607,0.111,0.350,0.025
140.8,4.326e+00,2.251e+01,5.286e+00,3.212e+01,0.557,0.614,0.106,0.368,0.026
142.5,3.777e+00,1.911e+01,5.754e+00,2.864e+01,0.533,0.620,0.101,0.385,0.027
144.1,3.619e+00,1.512e+01,5.995e+00,2.473e+01,0.508,0.623,0.098,0.401,0.029
145.7,3.951e+00,1.328e+01,5.788e+00,2.302e+01,0.483,0.625,0.096,0.415,0.031
147.4,4.452e+00,1.442e+01,5.741e+00,2.462e+01,0.457,0.626,0.095,0.428,0.035
149.0,5.136e+00,1.861e+01,5.887e+00,2.964e+01,0.430,0.624,0.095,0.440,0.038
150.7,5.655e+00,2.072e+01,6.018e+00,3.239e+01,0.404,0.621,0.096,0.451,0.043
152.3,6.022e+00,1.655e+01,6.439e+00,2.901e+01,0.379,0.616,0.098,0.459,0.054
153.9,8.388e+00,8.929e+00,4.852e+00,2.217e+01,0.365,0.610,0.100,0.467,0.067
155.6,1.192e+01,1.237e+01,3.305e+00,2.760e+01,0.351,0.602,0.104,0.472,0.081
