freq,psd_x,psd_y,psd_z,psd_xyz,zv(45.8),mzv(42.0),ei(54.0),2hump_ei(65.0),3hump_ei(79.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.994,0.990,0.989,0.987,0.985
3.3,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.984,0.975,0.974,0.969,0.966
4.9,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.972,0.955,0.955,0.945,0.941
6.5,4.926e+00,6.558e+00,2.324e+02,2.439e+02,0.956,0.932,0.932,0.918,0.912
8.2,3.995e+00,4.734e+00,3.021e+02,3.108e+02,0.938,0.904,0.904,0.886,0.879
9.8,3.941e+00,4.934e+00,3.819e+02,3.908e+02,0.917,0.872,0.873,0.850,0.842
11.5,5.648e+00,9.438e+00,4.706e+02,4.857e+02,0.894,0.837,0.839,0.811,0.802
13.1,4.945e+00,1.339e+01,5.836e+02,6.019e+02,0.868,0.799,0.802,0.769,0.758
14.7,3.762e+00,2.187e+01,7.799e+02,8.055e+02,0.839,0.758,0.762,0.725,0.713
16.4,1.237e+01,4.055e+01,9.620e+02,1.015e+03,0.808,0.714,0.720,0.678,0.666
18.0,3.325e+01,4.319e+01,9.181e+02,9.946e+02,0.775,0.668,0.676,0.630,0.617
19.6,3.125e+01,1.818e+01,7.486e+02,7.981e+02,0.740,0.620,0.631,0.581,0.568
21.3,1.424e+01,4.136e+00,6.907e+02,7.091e+02,0.702,0.571,0.585,0.532,0.518
22.9,7.376e+00,1.994e+00,8.364e+02,8.458e+02,0.663,0.522,0.537,0.482,0.469
24.6,6.357e+00,1.969e+00,1.081e+03,1.090e+03,0.622,0.471,0.490,0.433,0.420
26.2,8.552e+00,3.007e+00,1.375e+03,1.386e+03,0.579,0.421,0.442,0.385,0.373
27.8,1.515e+01,7.644e+00,1.710e+03,1.733e+03,0.535,0.370,0.395,0.339,0.327
29.5,2.114e+01,1.213e+01,2.007e+03,2.040e+03,0.490,0.321,0.349,0.294,0.284
